record,fold,consensus_operator,fold_operator,value
same_slot,16,9,9,0.9962858036775325
same_slot,16,10,10,0.9963924706372882
same_slot,16,11,11,0.9971524666010442
same_slot,16,12,12,0.9990505717857069
same_slot,16,13,13,0.9998566511775238
same_slot,16,14,14,0.9998780476337252
same_slot,16,15,15,0.9989815853808949
same_slot,17,1,1,0.9993338806535282
same_slot,17,2,2,0.9988289985992644
same_slot,17,3,3,0.9999324685008117
same_slot,17,4,4,0.9998280388801397
same_slot,17,5,5,0.9998207380540077
same_slot,17,6,6,0.9961054261297891
same_slot,17,7,7,0.9990794122127405
same_slot,17,8,8,0.9996951105989111
same_slot,17,9,9,0.9891758288980603
same_slot,17,10,10,0.9960432939313585
same_slot,17,11,11,0.9988921903231713
same_slot,17,12,12,0.9994539095404057
same_slot,17,13,13,0.9998736116662201
same_slot,17,14,14,0.9998870927698468
same_slot,17,15,15,0.9992940227228799
same_slot,18,1,1,0.9996916564181448
same_slot,18,2,2,0.9985461342154509
same_slot,18,3,3,0.9999452342583967
same_slot,18,4,4,0.9998888122519252
same_slot,18,5,5,0.9999033523269277
same_slot,18,6,6,0.9953076798908326
same_slot,18,7,7,0.9980286750387485
same_slot,18,8,8,0.9998871907740854
same_slot,18,9,9,0.988580335855107
same_slot,18,10,10,0.998052014261827
same_slot,18,11,11,0.9973094267552728
same_slot,18,12,12,0.9998191921491084
same_slot,18,13,13,0.9999216126891516
same_slot,18,14,14,0.9998995597353441
same_slot,18,15,15,0.9994442629757445
same_slot,19,1,1,0.9992937935448474
same_slot,19,2,2,0.9967986180469903
same_slot,19,3,3,0.9999000169734358
same_slot,19,4,4,0.9994090555859577
same_slot,19,5,5,0.9998365768338154
same_slot,19,6,6,0.9880539556833074
same_slot,19,7,7,0.9681212800614027
same_slot,19,8,8,0.9992984418161648
same_slot,19,9,9,0.984432103155922
same_slot,19,10,10,0.990259971767931
same_slot,19,11,11,0.9914877480855748
same_slot,19,12,12,0.9997242355826613
same_slot,19,13,13,0.9987433253217268
same_slot,19,14,14,0.9989716573337089
same_slot,19,15,15,0.9983528759149761
same_slot,20,1,1,0.9991040687824877
same_slot,20,2,2,0.9968855329671367
same_slot,20,3,3,0.999847106041473
same_slot,20,4,4,0.9992855064495284
same_slot,20,5,5,0.9996244271243309
same_slot,20,6,6,0.9945812502974143
same_slot,20,7,7,0.9811217479011398
same_slot,20,8,8,0.9996396375268712
same_slot,20,9,9,0.9923883579706276
same_slot,20,10,10,0.9912689130659817
same_slot,20,11,11,0.9894760722008279
same_slot,20,12,12,0.9996782441831782
same_slot,20,13,13,0.9991636848667065
same_slot,20,14,14,0.9995880453719863
same_slot,20,15,15,0.9989641168601885
same_slot,21,1,1,0.9991903944416901
same_slot,21,2,2,0.9986448158274109
same_slot,21,3,3,0.9999463982058008
same_slot,21,4,4,0.9998822904259366
same_slot,21,5,5,0.9996614282592619
same_slot,21,6,6,0.9962662839505626
same_slot,21,7,7,0.9976807464166321
same_slot,21,8,8,0.9996749160801127
same_slot,21,9,9,0.9975378762233091
same_slot,21,10,10,0.9974509309072623
same_slot,21,11,11,0.9972274997004285
same_slot,21,12,12,0.9993871230668363
same_slot,21,13,13,0.9996007190395408
same_slot,21,14,14,0.9995441081634799
same_slot,21,15,15,0.9988852271306844
same_slot,22,1,1,0.9996401552797088
same_slot,22,2,2,0.9984185686324628
same_slot,22,3,3,0.9999070722880943
same_slot,22,4,4,0.9998088610957763
same_slot,22,5,5,0.9998371064683933
same_slot,22,6,6,0.9963492648021277
same_slot,22,7,7,0.9963065098085773
same_slot,22,8,8,0.9997220062795756
same_slot,22,9,9,0.9970056467726367
same_slot,22,10,10,0.9949587967802206
same_slot,22,11,11,0.9922068900472151
same_slot,22,12,12,0.9996918552862354
same_slot,22,13,13,0.9998134711242163
same_slot,22,14,14,0.9997258293980915
same_slot,22,15,15,0.9992996893394553
same_slot,23,1,1,0.9946703572448239
same_slot,23,2,2,0.9550022479431567
same_slot,23,3,3,0.9957422313154085
same_slot,23,4,4,0.9951291088018351
same_slot,23,5,5,0.9978513758727806
same_slot,23,6,6,0.39224825184879536
same_slot,23,7,7,0.9336939083092093
same_slot,23,8,8,0.9982387147269882
same_slot,23,9,9,0.9771519041393144
same_slot,23,10,10,0.517687475689342
same_slot,23,11,11,0.9585608849074584
same_slot,23,12,12,0.9978268488425487
same_slot,23,13,13,0.9974937571094789
same_slot,23,14,14,0.997028332133682
same_slot,23,15,15,0.9933393479843056
same_slot,24,1,1,0.9969512428735527
same_slot,24,2,2,0.7365189037819642
same_slot,24,3,3,0.9965373343276247
same_slot,24,4,4,0.9977568595139296
same_slot,24,5,5,0.9991247663674383
same_slot,24,6,6,0.6295670123183778
same_slot,24,7,7,0.9339111846477113
same_slot,24,8,8,0.9989819586470169
same_slot,24,9,9,0.9802301559947967
same_slot,24,10,10,0.9256959795049395
same_slot,24,11,11,0.9775585732188943
same_slot,24,12,12,0.9991008788394597
same_slot,24,13,13,0.9988294088350433
same_slot,24,14,14,0.9986618282557544
same_slot,24,15,15,0.9963701494971962
same_slot,25,1,1,0.9974467161064676
same_slot,25,2,2,0.9596584432145551
same_slot,25,3,3,0.9963137178398308
same_slot,25,4,4,0.9951326592510199
same_slot,25,5,5,0.9990214826873577
same_slot,25,6,6,0.38936210444009545
same_slot,25,7,7,0.9352891392932545
same_slot,25,8,8,0.9989990154947064
same_slot,25,9,9,0.9806444687969327
same_slot,25,10,10,0.5202494120649278
same_slot,25,11,11,0.9588092167039989
same_slot,25,12,12,0.998766756788346
same_slot,25,13,13,0.9986340891223948
same_slot,25,14,14,0.9983190909860852
